piece,performer,year,measure.beat,tempo
mazurka17_4,Afanassiev,2001,39.2,80
mazurka17_4,Afanassiev,2001,39.3,74.35508351
mazurka17_4,Afanassiev,2001,40.1,78.63064985
mazurka17_4,Afanassiev,2001,40.2,82.19178082
mazurka17_4,Afanassiev,2001,40.3,69.76744186
mazurka17_4,Afanassiev,2001,41.1,75
mazurka17_4,Afanassiev,2001,41.2,73.17073171
mazurka17_4,Afanassiev,2001,41.3,72.28915663
mazurka17_4,Afanassiev,2001,42.1,77.92207792
mazurka17_4,Afanassiev,2001,42.2,71.42857143
mazurka17_4,Afanassiev,2001,42.3,63.82978723
mazurka17_4,Afanassiev,2001,43.1,60
mazurka17_4,Afanassiev,2001,43.2,58.82352941
mazurka17_4,Afanassiev,2001,43.3,50.42016807
mazurka17_4,Afanassiev,2001,44.1,42.38686423
mazurka17_4,Afanassiev,2001,44.2,29.59698438
mazurka17_4,Afanassiev,2001,44.3,29.59698438
mazurka17_4,Afanassiev,2001,45.1,45.92633736
mazurka17_4,Afanassiev,2001,45.2,53.88124133
mazurka17_4,Afanassiev,2001,45.3,53.57142857
mazurka17_4,Afanassiev,2001,46.1,61.2244898
mazurka17_4,Afanassiev,2001,46.2,85.83663149
mazurka17_4,Afanassiev,2001,46.3,70.50547572
mazurka17_4,Afanassiev,2001,47.1,64.51612903
mazurka17_4,Afanassiev,2001,47.2,65.93406593
mazurka17_4,Afanassiev,2001,47.3,69.76744186
mazurka17_4,Afanassiev,2001,48.1,67.41573034
mazurka17_4,Afanassiev,2001,48.2,72.28915663
mazurka17_4,Afanassiev,2001,48.3,65.93406593
mazurka17_4,Afanassiev,2001,49.1,58.25242718
mazurka17_4,Afanassiev,2001,49.2,67.41573034
mazurka17_4,Afanassiev,2001,49.3,65.93406593
mazurka17_4,Afanassiev,2001,50.1,59.84394435
mazurka17_4,Afanassiev,2001,50.2,56.21176072
mazurka17_4,Afanassiev,2001,50.3,52.1687697
mazurka17_4,Afanassiev,2001,51.1,53.57685222
mazurka17_4,Afanassiev,2001,51.2,71.42857143
mazurka17_4,Afanassiev,2001,51.3,73.10805956
mazurka17_4,Afanassiev,2001,52.1,55.0813939
mazurka17_4,Afanassiev,2001,52.2,64.51612903
mazurka17_4,Afanassiev,2001,52.3,48.49262349
mazurka17_4,Afanassiev,2001,53.1,47.51728472
mazurka17_4,Afanassiev,2001,53.2,67.41573034
mazurka17_4,Afanassiev,2001,53.3,56.60377358
mazurka17_4,Afanassiev,2001,54.1,57.69230769
mazurka17_4,Afanassiev,2001,54.2,56.60377358
mazurka17_4,Afanassiev,2001,54.3,47.23819046
mazurka17_4,Afanassiev,2001,55.1,59.1893343
mazurka17_4,Afanassiev,2001,55.2,56.27751663
mazurka17_4,Afanassiev,2001,55.3,49.58677686
mazurka17_4,Afanassiev,2001,56.1,68.18181818
mazurka17_4,Afanassiev,2001,56.2,65.2173913
mazurka17_4,Afanassiev,2001,56.3,62.5
mazurka17_4,Afanassiev,2001,57.1,52.24912129
mazurka17_4,Afanassiev,2001,57.2,60.50489343
mazurka17_4,Afanassiev,2001,57.3,59.68600559
mazurka17_4,Afanassiev,2001,58.1,60.92983628
